SubjectID,StimulusType,response,RT
312,1,1,467
312,1,1,403
312,0,0,0
312,1,1,354
312,1,1,370
312,1,1,371
312,1,1,372
312,1,1,387
312,1,1,403
312,0,0,0
312,1,1,355
312,1,1,354
312,0,0,0
312,1,1,339
312,1,1,384
312,0,0,0
312,1,1,354
312,0,0,0
312,1,1,353
312,1,1,387
312,0,0,0
312,0,0,0
312,0,0,0
312,1,1,338
312,1,1,354
312,1,1,339
312,0,0,0
312,0,0,0
312,1,1,307
312,1,1,369
312,1,1,338
312,1,1,354
312,1,1,353
312,1,1,339
312,1,1,321
312,1,1,370
312,1,1,371
312,1,1,403
312,1,1,386
312,1,1,339
312,1,1,338
312,1,1,306
312,0,0,0
312,1,1,355
312,0,1,370
312,1,1,517
312,1,1,273
312,1,1,354
312,1,1,371
312,1,1,433
312,1,1,371
312,1,1,354
312,0,0,0
312,1,1,338
312,1,1,338
312,1,1,338
312,0,0,0
312,1,1,306
312,1,1,340
312,1,1,306
312,0,0,0
312,1,1,323
312,1,1,372
312,1,1,370
312,0,0,0
312,1,1,419
312,0,0,0
312,0,0,0
312,1,1,417
312,1,1,371
312,1,1,355
312,1,1,336
312,1,1,322
312,1,1,355
312,1,1,385
312,1,1,337
312,1,1,370
312,1,1,404
312,1,1,339
312,1,1,368
312,1,1,323
312,1,1,354
312,1,1,353
312,1,1,339
312,0,0,0
312,1,1,451
312,0,0,0
312,1,1,451
312,1,1,307
312,1,1,322
312,1,1,290
312,1,1,291
312,1,1,338
312,1,1,435
312,1,1,386
312,1,1,340
312,1,1,355
312,1,1,288
312,1,1,355
312,1,1,340
